"Have no posts.","Have no posts."
%1,%1
"Read More","Read More"
"%1 Comment(s)","%1 Comment(s)"
video,video
image,image
"Write Your Review","Write Your Review"
"* Required Fields","* Required Fields"
"Enter your name *","Enter your name *"
Name,Name
"Enter your email *","Enter your email *"
Email,Email
"Write your message *","Write your message *"
Content,Content
"Your email address will not published. Required fields are marked *","Your email address will not published. Required fields are marked *"
Submit,Submit
"Send Message","Send Message"
"You must be logged in to post a comment.","You must be logged in to post a comment."
"Click here","Click here"
"to log in","to log in"
Comments,Comments
"Posted On: %1","Posted On: %1"
"Blog Categories","Blog Categories"
"Recent Posts","Recent Posts"
Tags,Tags
"Read more","Read more"
"No Blog to show","No blogs to show"
"No Post to show","No posts to show"
"Featured Brands","Featured Brands"
(%1),(%1)
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Add to Cart","Add to Basket"
"Out of Stock","Out of Stock"
"Add to Wishlist","Add to Wishlist"
"Quick view","Quick view"
Brands,Brands
products,products
product,product
"View All","View All"
"List Brands","All Brands"
"Have no brands.","No brands available."
0-9,0-9
"Search Brands","Search Brands"
"Search brand here...","Search brands here..."
Search,Search
"Reset Filter","Reset Filter"
"No Brand to show","No Brands to show"
"No brand to show. Please check config your widget","No brand to show. Please check config your widget"
"No deal product to show","No deal product to show"
"No Product to Show","No Product to Show"
"No product to show","No product to show"
0,0
"No category to show","No category to show"
"You need to input identifier for your slider.","You need to input identifier for your slider."
All,All
"View Detail","View Detail"
"There are no portfolios matching the selection.","There are no portfolios matching the selection."
Date:,Date:
Categories:,Categories:
Project:,Project:
Client:,Client:
Skills:,Skills:
"View Project","View Project"
"Related Project","Related Project"
"We can't find banners matching the selection.","We can't find banners matching the selection."
"There are not any images in this instagram.","There are not any images in this instagram."
"View Item","View Item"
"The instagram extension had disabled.","The instagram extension had disabled."
Instagram,Instagram
"From Twitter","From Twitter"
"No content to show.","No content to show."
"Please update your twitter settings first.","Please update your twitter settings first."
"Search by Area","Search by Area"
Country,Country
State,County
state,county
City,City
Zipcode,Postcode
"Search by Distance","Search by Distance"
Location,Location
"Street, City, State, Zipcode, Country","Street, City, Region, Postcode, Country"
Radius,Radius
Kilomet,Kilomet
"Store List","Store List"
"There are no stores.","There are no stores."
"Zip Code: %1","Postcode: %1"
"Phone: %1","Phone: %1"
"Phone: ","Phone: "
Details,Details
"View Map","View Map"
"View on Map","View on Map"
"Show All Stores","Show All Stores"
Address:,Address:
Email:,Email:
Fax:,Fax:
Phone:,Phone:
Website:,Website:
"Store Overview","Store Overview"
"Opening Hours","Opening Hours"
"View All Store","View All Store"
"No testimonial to show","No testimonial to show"
"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Basket"
"Your Customization","Your Customization"
Availability,Availability
"In stock","In stock"
Summary,Summary
"%1 x %2","%1 x %2"
Availability:,Availability:
"Availability: ","Availability: "
None,None
Quantity,Quantity
"Choose a selection...","Choose a selection..."
"Customize %1","Customize %1"
"No options of this product are available.","No options of this product are available."
Compare,Compare
Product,Product
"Unit Price","Unit Price"
Rating,Rating
"Remove Product","Remove Product"
"Print This Page","Print This Page"
"Print Table Compare","Print Table Compare"
"RELATED PRODUCTS","RELATED PRODUCTS"
"Add to wishlist","Add to wishlist"
"You have no items to compare.","You have no items to compare."
"Compare Products","Compare Products"
"Remove This Item","Remove This Item"
"Clear All","Clear All"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to WishList","Add to WishList"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"Upsell Products","Upsell Products"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the basket or"
"select all","select all"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
"Show: ","Show: "
"Sort By: ","Sort By: "
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Regular Price","Regular Price"
"Special Price","Special Price"
Qty,Qty
"Add To Wishlist","Add To Wishlist"
"More Information","More Information"
label,label
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
Item,Item
Price,Price
Subtotal,Subtotal
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Basket"
"Update Shopping Cart","Update Shopping Basket"
"Update Cart","Update Basket"
Price:,Price:
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Edit item parameters","Edit item parameters"
Edit,Edit
"Remove item","Remove item"
Remove,Remove
"My Bag","My Bag"
"Estimate Tax","Estimate VAT"
"Estimate Shipping and Tax","Estimate Delivery and VAT"
Loading...,Loading...
"Enter your name","Enter your name"
"Enter your Email *","Enter your Email *"
"Enter your Number phone","Enter your Number phone"
"Phone Number","Phone Number"
"What’s on your mind?","What’s on your mind?"
"You must enable and config your google map.","You must enable and config your google map."
Close,Close
"Quick contact","Quick contact"
Change,Change
"Address Book","Address Book"
"Manage Addresses","Manage Addresses"
"Default Billing Address","Default Billing Address"
"Edit Address","Edit Address"
"Default Shipping Address","Default Delivery Address"
"Contact Information","Contact Information"
"Change Password","Change Password"
Newsletters,Newsletters
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"My Account","My Account"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no default shipping address in your address book.","You have no default delivery address in your address book."
"Additional Address Entries","Additional Address Entries"
Delete,Delete
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Add New Address","Add New Address"
Back,Back
Company,Company
Fax,Fax
Address,Address
"Street Address","Street Address"
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
State/Province,County/Region
"Please select a region, state or province.","Please select a county or region."
"Zip/Postal Code","Postcode"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default delivery address."
"Use as my default shipping address","Use as my default delivery address"
"Save Address","Save Address"
"Go back","Go back"
"Account Information","Account Information"
"Change Email","Change Email"
"Change Email and Password","Change Email and Password"
"Current Password","Current Password"
"Enter new password","Enter new password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
Save,Save
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Enter your email address","Enter your email address"
"Reset My Password","Reset My Password"
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Enter your password *","Enter your password *"
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgot Your Password?"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
"Sign-in Information","Sign-in Information"
"Enter Your Email","Enter Your Email"
"Enter your password","Enter your password"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"Repeat your password *","Repeat your password *"
"Register Account","Register Account"
"Enter New Password","Enter New Password"
"Set a New Password","Set a New Password"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"New Customers","New Customers"
